N_base = 1000
N = 2350
f_CG = 20
N_base_CG = 50
N_CG = 119


N_leaves = 5
mll,0,49
mlr,50,64
mrl,65,94
mrrl,95,112
mrrr,113,118

ID, base-ID, min, max
0,0,0,19
1,1,20,39
2,2,40,59
3,3,60,79
4,4,80,99
5,5,100,119
6,6,120,139
7,7,140,159
8,8,160,179
9,9,180,199
10,10,200,219
11,11,220,239
12,12,240,259
13,13,260,279
14,14,280,299
15,15,300,319
16,16,320,339
17,17,340,359
18,18,360,379
19,19,380,399
20,20,400,419
21,21,420,439
22,22,440,459
23,23,460,479
24,24,480,499
25,25,500,519
26,26,520,539
27,27,540,559
28,28,560,579
29,29,580,599
30,30,600,619
31,31,620,639
32,32,640,659
33,33,660,679
34,34,680,699
35,35,700,719
36,36,720,739
37,37,740,759
38,38,760,779
39,39,780,799
40,40,800,819
41,41,820,839
42,42,840,859
43,43,860,879
44,44,880,899
45,45,900,919
46,46,920,939
47,47,940,959
48,48,960,979
49,49,980,999
50,15,1000,1019
51,16,1020,1039
52,17,1040,1059
53,18,1060,1079
54,19,1080,1099
55,20,1100,1119
56,21,1120,1139
57,22,1140,1159
58,23,1160,1179
59,24,1180,1199
60,25,1200,1219
61,26,1220,1239
62,27,1240,1259
63,28,1260,1279
64,29,1280,1299
65,10,1300,1319
66,11,1320,1339
67,12,1340,1359
68,13,1360,1379
69,14,1380,1399
70,15,1400,1419
71,16,1420,1439
72,17,1440,1459
73,18,1460,1479
74,19,1480,1499
75,20,1500,1519
76,21,1520,1539
77,22,1540,1559
78,23,1560,1579
79,24,1580,1599
80,25,1600,1619
81,26,1620,1639
82,27,1640,1659
83,28,1660,1679
84,29,1680,1699
85,30,1700,1719
86,31,1720,1739
87,32,1740,1759
88,33,1760,1779
89,34,1780,1799
90,35,1800,1819
91,36,1820,1839
92,37,1840,1859
93,38,1860,1879
94,39,1880,1899
95,17,1900,1909
96,18,1910,1929
97,19,1930,1949
98,20,1950,1969
99,21,1970,1989
100,22,1990,2009
101,23,2010,2029
102,24,2030,2049
103,25,2050,2069
104,26,2070,2089
105,27,2090,2109
106,28,2110,2129
107,29,2130,2149
108,30,2150,2169
109,31,2170,2189
110,32,2190,2209
111,33,2210,2229
112,34,2230,2249
113,22,2250,2259
114,23,2260,2279
115,24,2280,2299
116,25,2300,2319
117,26,2320,2339
118,27,2340,2349
